[2026-05-01 12:08:47,988] [INFO] [extract:get_latest_data_url:65] - Checking for available data (2026-5): https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2026-05.parquet
[2026-05-01 12:08:48,597] [WARNING] [extract:get_latest_data_url:84] - No data found for 2026-5
[2026-05-01 12:08:48,599] [INFO] [extract:get_latest_data_url:65] - Checking for available data (2026-4): https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2026-04.parquet
[2026-05-01 12:08:49,213] [WARNING] [extract:get_latest_data_url:84] - No data found for 2026-4
[2026-05-01 12:08:49,214] [INFO] [extract:get_latest_data_url:65] - Checking for available data (2026-3): https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2026-03.parquet
[2026-05-01 12:08:49,255] [INFO] [extract:get_latest_data_url:81] - Data found for 2026-3: https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2026-03.parquet
[2026-05-01 12:08:49,255] [INFO] [extract:extract:138] - Downloading https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2026-03.parquet...
[2026-05-01 12:08:57,741] [INFO] [extract:extract:176] - Filed saved: data/raw/yellow_tripdata_2026-03.parquet (67.9 MB)
[2026-05-01 12:08:57,743] [INFO] [transform:transform:90] - Transforming data: data/raw/yellow_tripdata_2026-03.parquet...
[2026-05-01 12:09:04,618] [INFO] [transform:transform:117] - Data succesfully transformed: data/raw/yellow_tripdata_2026-03.parquet
[2026-05-01 12:09:04,619] [INFO] [load:load:32] - Loading transformed data...
[2026-05-01 12:09:15,786] [INFO] [load:load:52] - File saved: data/processed/prcsd_yellow_tripdata_2026-03.parquet.gzip (59.5 MB)
[2026-05-01 12:09:15,787] [INFO] [__main__:<module>:31] - Pipeline completed
