[2026-05-01 12:03:42,504] [INFO] [extract:get_latest_data_url:65] - Checking for available data (2026-5): https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2026-05.parquet
[2026-05-01 12:03:43,196] [WARNING] [extract:get_latest_data_url:84] - No data found for 2026-5
[2026-05-01 12:03:43,198] [INFO] [extract:get_latest_data_url:65] - Checking for available data (2026-4): https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2026-04.parquet
[2026-05-01 12:03:43,744] [WARNING] [extract:get_latest_data_url:84] - No data found for 2026-4
[2026-05-01 12:03:43,746] [INFO] [extract:get_latest_data_url:65] - Checking for available data (2026-3): https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2026-03.parquet
[2026-05-01 12:03:43,781] [INFO] [extract:get_latest_data_url:81] - Data found for 2026-3: https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2026-03.parquet
[2026-05-01 12:03:43,782] [INFO] [extract:extract:138] - Downloading https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2026-03.parquet...
[2026-05-01 12:03:53,938] [INFO] [extract:extract:176] - Filed saved: data/raw/yellow_tripdata_2026-03.parquet (67.9 MB)
[2026-05-01 12:03:53,939] [INFO] [transform:transform:205] - Transforming data: data/raw/yellow_tripdata_2026-03.parquet...
[2026-05-01 12:04:00,851] [INFO] [transform:transform:232] - Data succesfully transformed: data/raw/yellow_tripdata_2026-03.parquet
[2026-05-01 12:04:00,853] [INFO] [load:load:32] - Loading transformed data...
[2026-05-01 12:04:11,359] [INFO] [load:load:52] - File saved: data/processed/prcsd_yellow_tripdata_2026-03.parquet.gzip (59.5 MB)
[2026-05-01 12:04:11,359] [INFO] [__main__:<module>:31] - Pipeline completed
