[2026-04-30 20:55:59,508] [INFO] [extract:get_latest_data_url:65] - Checking for available data (2026-4): https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2026-04.parquet
[2026-04-30 20:56:00,138] [WARNING] [extract:get_latest_data_url:84] - No data found for 2026-4
[2026-04-30 20:56:00,139] [INFO] [extract:get_latest_data_url:65] - Checking for available data (2026-3): https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2026-03.parquet
[2026-04-30 20:56:00,710] [INFO] [extract:get_latest_data_url:81] - Data found for 2026-3: https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2026-03.parquet
[2026-04-30 20:56:00,711] [INFO] [extract:extract:138] - Downloading https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2026-03.parquet...
[2026-04-30 20:56:03,704] [INFO] [extract:extract:176] - Filed saved: data/raw/yellow_tripdata_2026-03.parquet (67.9 MB)
[2026-04-30 20:56:03,704] [INFO] [transform:transform:85] - Transforming data: data/raw/yellow_tripdata_2026-03.parquet...
[2026-04-30 20:56:07,504] [INFO] [transform:transform:95] - Data succesfully transformed: data/raw/yellow_tripdata_2026-03.parquet
[2026-04-30 20:56:07,561] [INFO] [load:load:32] - Loading transformed data...
[2026-04-30 20:56:18,628] [INFO] [load:load:52] - File saved: data/processed/prcsd_yellow_tripdata_2026-03.parquet.gzip (56.9 MB)
[2026-04-30 20:56:18,689] [INFO] [__main__:<module>:31] - ✅ Pipeline completed
