[2026-04-30 21:16:36,602] [INFO] [extract:get_latest_data_url:65] - Checking for available data (2026-4): https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2026-04.parquet
[2026-04-30 21:16:37,157] [WARNING] [extract:get_latest_data_url:84] - No data found for 2026-4
[2026-04-30 21:16:37,158] [INFO] [extract:get_latest_data_url:65] - Checking for available data (2026-3): https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2026-03.parquet
[2026-04-30 21:16:37,187] [INFO] [extract:get_latest_data_url:81] - Data found for 2026-3: https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2026-03.parquet
[2026-04-30 21:16:37,188] [INFO] [extract:extract:138] - Downloading https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2026-03.parquet...
[2026-04-30 21:16:38,325] [INFO] [extract:extract:176] - Filed saved: data/raw/yellow_tripdata_2026-03.parquet (67.9 MB)
[2026-04-30 21:16:38,325] [INFO] [transform:transform:131] - Transforming data: data/raw/yellow_tripdata_2026-03.parquet...
[2026-04-30 21:16:45,126] [INFO] [transform:transform:158] - Data succesfully transformed: data/raw/yellow_tripdata_2026-03.parquet
[2026-04-30 21:16:45,127] [INFO] [load:load:32] - Loading transformed data...
[2026-04-30 21:16:56,168] [INFO] [load:load:52] - File saved: data/processed/prcsd_yellow_tripdata_2026-03.parquet.gzip (59.5 MB)
[2026-04-30 21:16:56,169] [INFO] [__main__:<module>:31] - Pipeline completed
