[2026-04-28 19:41:04,586] [INFO] [extract:get_latest_data_url:65] - Checking for available data (2026-4): https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2026-04.parquet
[2026-04-28 19:41:05,143] [WARNING] [extract:get_latest_data_url:84] - No data found for 2026-4
[2026-04-28 19:41:05,145] [INFO] [extract:get_latest_data_url:65] - Checking for available data (2026-3): https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2026-03.parquet
[2026-04-28 19:41:05,179] [INFO] [extract:get_latest_data_url:81] - Data found for 2026-3: https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2026-03.parquet
[2026-04-28 19:41:05,179] [INFO] [extract:extract:138] - Downloading https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2026-03.parquet...
[2026-04-28 19:41:06,250] [INFO] [extract:extract:176] - Filed saved: data/raw/yellow_tripdata_2026-03.parquet (67.9 MB)
[2026-04-28 19:41:06,251] [INFO] [transform:transform:64] - Transforming data: data/raw/yellow_tripdata_2026-03.parquet...
[2026-04-28 19:41:09,323] [INFO] [load:load:7] - Loading data...
[2026-04-28 19:41:09,380] [INFO] [__main__:<module>:24] - ✅ Pipeline completed
