[2026-04-28 20:03:25,826] [INFO] [extract:get_latest_data_url:65] - Checking for available data (2026-4): https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2026-04.parquet
[2026-04-28 20:03:26,340] [WARNING] [extract:get_latest_data_url:84] - No data found for 2026-4
[2026-04-28 20:03:26,341] [INFO] [extract:get_latest_data_url:65] - Checking for available data (2026-3): https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2026-03.parquet
[2026-04-28 20:03:26,371] [INFO] [extract:get_latest_data_url:81] - Data found for 2026-3: https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2026-03.parquet
[2026-04-28 20:03:26,371] [INFO] [extract:extract:138] - Downloading https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2026-03.parquet...
[2026-04-28 20:03:27,487] [INFO] [extract:extract:176] - Filed saved: data/raw/yellow_tripdata_2026-03.parquet (67.9 MB)
[2026-04-28 20:03:27,487] [INFO] [transform:transform:67] - Transforming data: data/raw/yellow_tripdata_2026-03.parquet...
[2026-04-28 20:03:30,541] [INFO] [load:load:13] - Loading transformed data...
[2026-04-28 20:03:42,160] [INFO] [load:load:27] - Filed saved: data/processed (0.0 MB)
[2026-04-28 20:03:42,207] [INFO] [__main__:<module>:24] - ✅ Pipeline completed
